time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.990316600615076e-08,3.8566873705098176e-07,10.007155904862945,0.0002991141829644661,6.2831245061991154,0.0,5.288741092479245e-06,3.30266605055687e-05,0.23851012168458963,0.013448941984696403,-0.0031214263201293814,0.0,478.27445221995805,478.0367222671395,479.0066123298782,480.0280099842219
0.12000000000000001,2.447073921430557e-06,1.2660147405337643e-05,10.026986192517246,0.0008900132441098663,6.283066973715117,0.0,8.825861579987997e-05,0.0004574602748573846,0.42244883375642656,0.001446492632942266,0.003049259740718724,0.0,462.3156057439825,462.80149018730214,463.61326092111005,462.6692943288669
0.18,9.383157065029783e-06,6.17015846720749e-05,10.058419133081054,0.0010574159888179224,0.0003610381735290602,0.0,0.00010238018361629524,0.001192220483135849,0.6252264898454813,0.005350337989598702,0.01638770281772494,0.0,467.6139157117944,468.6515523823732,468.90299625124146,469.2060659101114
0.23999999999999996,4.081220557035545e-06,0.00015703280579183908,10.099486894079162,0.0014943603570136688,0.0012189965960471838,0.0,-0.00037587391743956755,0.002025366492897006,0.743628701379259,0.010890836124840104,0.009756192871657033,0.0,443.49279792332544,442.947748857288,442.7972836295987,443.25266475536534
0.3,-4.035745324192004e-05,0.0003055095763576426,10.14287104917752,0.002595376699491503,0.0013582680333898978,0.0,-0.0011407679106021041,0.00299757420351571,0.7025361980784461,0.030170651165406886,-0.019857896497315307,0.0,391.46581544119573,388.7007618392296,389.31784052719905,391.11737305926806
0.36000000000000004,-0.00013282834453257538,0.0005467269740292475,10.188334161675579,0.004143800770997075,0.0003403984646048741,0.0,-0.0018277166143791108,0.005218582594081688,0.8128280220688364,0.015218055879154278,-0.011728714852692801,0.0,439.3437406360355,440.01720477557245,442.2896699229664,441.05676407228725
0.4200000000000001,-0.00024725485833121803,0.0009577363774546958,10.242101721446009,0.005230795173751801,6.282825395441524,0.0,-0.0019079583651899683,0.008593639648522382,0.9792953804161753,0.02336072702977791,-0.011558323555082264,0.0,458.2175112591085,458.2311824839843,457.84468572309515,458.491912957478
0.48000000000000015,-0.00035219505446240797,0.0015845994120307987,10.303352316929914,0.007140377530041597,6.282422758992567,0.0,-0.0015369800539290703,0.012469943015348178,1.0623162766781955,0.044891821897785275,0.001552588670375275,0.0,431.69646590183265,432.8013199724395,431.7732813107848,433.5861150899409
0.5400000000000001,-0.0004292375839060851,0.0024892781079282685,10.369889053145863,0.0100530098351852,6.282597522618442,0.0,-0.001044830186784272,0.01796926177963162,1.155482718618999,0.0549950579432847,0.005503120684578859,0.0,435.9103494321106,436.2402555759602,435.26166584638077,436.10776654687083
0.6000000000000002,-0.0004810878935712282,0.003785083381365126,10.441969546812656,0.012970386401763179,6.282725327204005,0.0,-0.0007076853100004823,0.025541210341766967,1.2471010045053876,0.031142878475629625,-0.005653853692867552,0.0,435.3242045080764,434.3896863936805,437.3230612458994,435.33340296649783
0.6600000000000003,-0.0005138103476803715,0.005576606731862457,10.518577121665672,0.015030839236343851,6.282779289035634,0.0,-0.0003717687180672298,0.03436451404029278,1.306415921887531,0.04007130127298565,0.011542300954256068,0.0,424.4036131286062,425.8768598798936,425.25252318174614,426.01710214117224
0.7200000000000003,-0.00052939516996407,0.008007433057256645,10.603137622414518,0.01752707506351836,2.1782323845087603e-05,0.0,-0.0002159456359924689,0.04694752819598032,1.5120135919873872,0.04450459519391482,-0.0036076386655164907,0.0,471.05992920407755,469.88696374382425,471.1752102431476,471.5186052999381
0.7800000000000004,-0.0005418909469142002,0.011243776545180141,10.699448769780261,0.020586253208162653,6.282945235575944,0.0,-0.00017319461266718548,0.061257314616442106,1.6980937805492797,0.061530146115389164,-0.0059221475732761505,0.0,465.4590476767622,465.2779772538074,465.28229241496814,466.6146740949213
0.8400000000000004,-0.0005455564212645022,0.015401172097329805,10.806338531702211,0.024028779181066717,6.28278227445808,0.0,7.917973111547253e-05,0.07771778701721255,1.8646322216802436,0.047407903598908605,0.0030289631682147255,0.0,460.46892540373113,461.1764848289298,460.44120705260696,459.32479570863137
0.9000000000000005,-0.0005332847185427216,0.020573960254546754,10.921312316013084,0.026932981513648535,6.283120186811978,0.0,0.00030273020747217445,0.09499862451365806,1.9676472801863698,0.05032284271382052,0.010386760658270907,0.0,441.52725922067214,442.1337451716451,440.6812239302529,440.9235488759131
0.9600000000000005,-0.0005162058581985956,0.026912008748476976,11.044925510361793,0.029696404063587423,0.0002579825073496522,0.0,0.00020941164491870365,0.11659356259048723,2.152452652420348,0.035761510810880394,-0.00719499960813158,0.0,467.73688622855553,466.36565280583085,467.07379796885334,465.9379693956639
1.0200000000000005,-0.0005083365008969071,0.03463548493304835,11.18059550493328,0.03192437241853163,0.00013237515476927086,0.0,8.436857940457373e-05,0.14110355402930336,2.369447109488273,0.03974269564285786,0.006538528518138112,0.0,476.48632138423164,477.53506591972365,476.801569663114,477.10615150037773
1.0800000000000005,-0.0005076259808902527,0.043791273313601324,11.32640994369112,0.03397106059238286,0.0005011296775858654,0.0,-0.00010067352281793673,0.16431721707413718,2.4907680758544983,0.019404831322090497,0.005348843832769259,0.0,449.5849352660472,449.4884334484707,449.4942318289827,447.84352457181996
1.1400000000000006,-0.0005274737872028905,0.054498411196715106,11.483007836428872,0.0349606970318721,0.0005722941422927619,0.0,-0.0005866762547150892,0.19270105981056365,2.72861833533865,0.009923286692017159,-0.008811050635979142,0.0,485.2322703505782,484.16813377993003,484.5545765252829,483.841185000656
